timestamp(ms),temperature,setpoint,heater_ssr,
"1644141167,042","25,13",,,
"1644141167,043",,"0","0",
"1644141167,117","25,02",,,
"1644141167,118",,"0","0",
"1644141167,194","25,06","0","0",
"1644141167,269","24,75","0",,
"1644141167,27",,,"0",
"1644141167,345","25,16",,,
"1644141167,346",,"0","0",
"1644141167,419","24,79",,,
"1644141167,42",,"0","0",
"1644141167,494","24,65",,,
"1644141167,495",,"0","0",
"1644141167,568","24,89","0","0",
"1644141167,643","24,89","0","0",
"1644141167,733","24,89",,,
"1644141167,734",,"0","0",
"1644141167,794","24,86","0","0",
"1644141167,87","24,99","0","0",
"1644141167,948","24,65","0","0",
"1644141168,02","24,82",,,
"1644141168,021",,"0","0",
"1644141168,117","24,92",,,
"1644141168,118",,"100","1",
"1644141168,194","24,96","100",,
"1644141168,197",,,"1",
"1644141168,27","24,79",,,
"1644141168,271",,"100",,
"1644141168,274",,,"1",
"1644141168,348","24,86",,,
"1644141168,349",,"100","1",
"1644141168,419","24,99","100",,
"1644141168,442",,,"1",
"1644141168,494","25,23","100","1",
"1644141168,576","24,99",,,
"1644141168,577",,"100",,
"1644141168,597",,,"1",
"1644141168,668","24,82","100","1",
"1644141168,743","24,99","100",,
"1644141168,746",,,"1",
"1644141168,819","24,92","100",,
"1644141168,833",,,"1",
"1644141168,894","24,65","100",,
"1644141168,895",,,"1",
"1644141168,969","24,79",,,
"1644141168,97",,"100","1",
"1644141169,046","24,99",,,
"1644141169,047",,"100",,
"1644141169,069",,,"1",
"1644141169,119","24,82",,,
"1644141169,12",,"100",,
"1644141169,143",,,"1",
"1644141169,215","25,06",,,
"1644141169,216",,"100",,
"1644141169,22",,,"1",
"1644141169,293","24,79",,,
"1644141169,294",,"100",,
"1644141169,298",,,"1",
"1644141169,368","24,82","100","1",
"1644141169,445","24,82","100","1",
"1644141169,519","24,82","100",,
"1644141169,521",,,"1",
"1644141169,595","24,82","100",,
"1644141169,597",,,"1",
"1644141169,669","24,99","100","1",
"1644141169,744","24,62",,,
"1644141169,745",,"100",,
"1644141169,769",,,"1",
"1644141169,819","25,19",,,
"1644141169,82",,"100","1",
"1644141169,918","24,92",,,
"1644141169,919",,"100",,
"1644141169,921",,,"1",
"1644141169,993","24,92",,,
"1644141169,994",,"100",,
"1644141169,995",,,"1",
"1644141170,067","25,02",,,
"1644141170,068",,"100","1",
"1644141170,144","25,02","100",,
"1644141170,146",,,"1",
"1644141170,219","24,79","100","1",
"1644141170,294","24,86","100",,
"1644141170,297",,,"1",
