timestamp(ms),temperature,setpoint,heater_ssr,
"1644149457,126","112,9","0",,
"1644149457,127",,,"0",
"1644149457,145","112,7","0","0",
"1644149457,296","113,53","0","0",
"1644149457,3","113,11","0","0",
"1644149457,391","112,7","0","0",
"1644149457,47","113,18","0","0",
"1644149457,553","113,08",,,
"1644149457,554",,"0","0",
"1644149457,641","112,77","0","0",
"1644149457,741","113,22","0","0",
"1644149457,81","112,94",,,
"1644149457,811",,"0","0",
"1644149457,9","112,97","0","0",
"1644149457,921","112,94","0","0",
"1644149457,995","112,9","0","0",
"1644149458,062","112,83","0","0",
"1644149458,15","113,08","0","0",
"1644149458,236","112,56","0","0",
"1644149458,321","113,22","0","0",
"1644149458,406","112,94","0","0",
"1644149458,492","112,8","0",,
"1644149458,493",,,"0",
"1644149458,592","113,15","0","0",
"1644149458,598","113,43",,,
"1644149458,599",,"0","0",
"1644149458,671","113,04","0","0",
"1644149458,749","113,01","0",,
"1644149458,75",,,"0",
"1644149458,836","113,22","0","0",
"1644149458,921","113,11",,,
"1644149458,922",,"0","0",
"1644149459,021","112,63","0","0",
"1644149459,092","113,11","0","0",
"1644149459,186","112,8","0","0",
"1644149459,263","112,66","0","0",
"1644149459,35","113,11","0","0",
"1644149459,37","112,56","0","0",
"1644149459,436","113,04","0","0",
"1644149459,523","112,45","0","0",
"1644149459,605","112,73","0","0",
"1644149459,691","113,15",,,
"1644149459,692",,"0","0",
"1644149459,783","112,94","0",,
"1644149459,784",,,"0",
"1644149459,864","113,15","0","0",
"1644149459,952","112,73","0","0",
"1644149459,972","112,97",,,
"1644149459,973",,"0","0",
"1644149460,131","113,08","0","0",
"1644149460,135","113,15","0","0",
"1644149460,205","113,08",,,
"1644149460,206",,"0","0",
"1644149460,301","112,9",,,
"1644149460,302",,"0","0",
"1644149460,376","112,8",,,
"1644149460,377",,"0","0",
"1644149460,463","112,77","0","0",
"1644149460,549","112,77","0","0",
"1644149460,645","112,8","0",,
"1644149460,646",,,"0",
"1644149460,722","112,28","0","0",
"1644149460,747","112,9","0","0",
