timestamp(ms),temperature,setpoint,heater_ssr,
"1644143138,837","97,48",,,
"1644143138,838",,"0",,
"1644143138,839",,,"0",
"1644143138,909","97,41",,,
"1644143138,91",,"0","0",
"1644143139,003","97,52",,,
"1644143139,004",,"0",,
"1644143139,005",,,"0",
"1644143139,087","97,41","0","0",
"1644143139,173","97,1","0","0",
"1644143139,264","97,35","0","0",
"1644143139,337","97,55",,,
"1644143139,338",,"0","0",
"1644143139,424","97,24",,,
"1644143139,425",,"0","0",
"1644143139,514","97,28","0","0",
"1644143139,519","97,28","0","0",
"1644143139,6","97,59",,,
"1644143139,601",,"0","0",
"1644143139,682","97,24",,,
"1644143139,685",,"0","0",
"1644143139,768","97,48","0","0",
"1644143139,852","97,48",,,
"1644143139,853",,"0","0",
"1644143139,939","97,31","0","0",
"1644143140,024","97,07",,,
"1644143140,025",,"0","0",
"1644143140,112","97,69","0","0",
"1644143140,133","97,17","0","0",
"1644143140,208","97,21",,,
"1644143140,209",,"0","0",
"1644143140,287","97,35",,,
"1644143140,288",,"0",,
"1644143140,289",,,"0",
"1644143140,369","97,45",,,
"1644143140,37",,"0","0",
"1644143140,453","97,28","0","0",
"1644143140,539","97,45",,,
"1644143140,54",,"0","0",
"1644143140,624","97,59",,,
"1644143140,625",,"0","0",
"1644143140,716","97,31","0","0",
"1644143140,802","97,21",,,
"1644143140,803",,"0","0",
"1644143140,891","97,45","0",,
"1644143140,892",,,"0",
"1644143140,908","97,59","0",,
"1644143140,909",,,"0",
"1644143140,973","97,03","0",,
"1644143140,974",,,"0",
"1644143141,079","97,28",,,
"1644143141,08",,"0","0",
"1644143141,144","97,21",,,
"1644143141,145",,"0","0",
"1644143141,23","97,52","0","0",
"1644143141,316","97,31",,,
"1644143141,317",,"0","0",
"1644143141,401","97,14","0","0",
"1644143141,493","97,35","0","0",
"1644143141,512","97,31","0","0",
"1644143141,652","97,28","0","0",
"1644143141,738","97,31","0","0",
"1644143141,742","97,35","0","0",
"1644143141,826","97,45","0",,
"1644143141,827",,,"0",
"1644143141,912","97,28","0","0",
"1644143141,996","97,35",,,
"1644143141,998",,"0","0",
"1644143142,082","97,17","0","0",
"1644143142,168","97,38","0","0",
"1644143142,253","96,93","0","0",
"1644143142,343","97,07",,,
"1644143142,344",,"0",,
"1644143142,345",,,"0",
"1644143142,424","97,17",,,
"1644143142,425",,"0","0",
"1644143142,43","97",,,
"1644143142,431",,"0","0",
"1644143142,515","97,07","0","0",
"1644143142,596","97,45",,,
"1644143142,597",,"0","0",
"1644143142,682","97,17",,,
"1644143142,683",,"0","0",
"1644143142,767","97,07","0","0",
"1644143142,853","97,45","0","0",
"1644143142,944","97,17",,,
"1644143142,945",,"0","0",
"1644143143,031","97,24","0","0",
"1644143143,057","97,21",,,
"1644143143,058",,"0","0",
"1644143143,119","97",,,
"1644143143,12",,"0","0",
"1644143143,204","97,17",,,
"1644143143,205",,"0","0",
"1644143143,287","96,76","0","0",
"1644143143,385","97,35","0","0",
"1644143143,457","97,62",,,
"1644143143,458",,"0","0",
"1644143143,544","97,31","0","0",
"1644143143,63","97,48","0","0",
"1644143143,714","97,14","0","0",
"1644143143,731","96,58",,,
"1644143143,732",,"0","0",
"1644143143,805","97,31","0","0",
"1644143143,899","97,55","0","0",
"1644143143,972","97,35",,,
"1644143143,973",,"0","0",
"1644143144,058","97,03","0","0",
"1644143144,144","97,1","0","0",
"1644143144,229","97,14","0","0",
"1644143144,314","97,07","0","0",
"1644143144,402","97,28","0","0",
"1644143144,486","97,24","0","0",
"1644143144,506","97,14","0","0",
"1644143144,571","97,31","0","0",
"1644143144,656","97,21","0","0",
"1644143144,743","97,35","0","0",
"1644143144,828","97,24","0","0",
"1644143144,919","97,07","0","0",
"1644143145,001","97,17","0","0",
"1644143145,085","97,1","0",,
"1644143145,086",,,"0",
"1644143145,107","97,28",,,
"1644143145,108",,"0","0",
"1644143145,256","96,96","0","0",
"1644143145,26","97,07",,,
"1644143145,261",,"0","0",
"1644143145,344","97,31","0","0",
"1644143145,431","96,79",,,
"1644143145,432",,"0","0",
"1644143145,516","97,24","0","0",
"1644143145,6","97,21","0","0",
"1644143145,69","97,41","0","0",
"1644143145,769","97,35","0","0",
